predicament 困境
carat 克拉
concession 让步，妥协
pedantic 迂腐的
charisma 超凡气质，号召力
dally 延误
impair 损害
expeditious 迅速而有效的
desultory 随意的
stanch 止血
archaeology 考古学
dialectical 辩证的
choreography 编舞艺术
draught 气流 风口
chaperon 监护人
efface 消除，抹去
indignation 愤慨
spoilsport 扫兴的人
salvage 挽回，挽救
sterile 不能生育的
missile 导弹
figurative 比喻的，形象的
beatific 安详快乐的
enchanted 着魔的，入迷的
revoke 取消，废除，
berserk 暴跳如雷的，极为激动的
sagacious 精明练达的
indicative 暗示的
fluted 有凹槽的
indigenous 土著的
putrescent 将腐烂的
permissive 放任的， 宽容的
carnal 肉体的，肉欲的
badger 不断督促
appellation 称呼
contiguous 相邻的
saboteur 破坏分子
inimitable 无法效仿的
imitable 可以模仿的
optimist乐观主义者
pessimist 悲观主义者
commonwealth共和国
